Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
40,NYJ,2003,2003-12-14,1:03,1:03,,PIT,15,14,Sun,W 6-0,,15,25,60.0,144,0,0,0,0,76.1,0,,,2,2,0,,
41,TEN,2000,2000-11-05,1:03,12:03,,PIT,10,9,Sun,W 9-7,,20,31,64.5,216,0,1,1,11,72.9,0,,,4,3,0,,
42,TEN,2000,2000-12-03,1:03,1:03,@,PHI,14,13,Sun,W 15-13,,24,39,61.5,213,0,0,2,11,77.3,0,,,5,5,0,,
43,TEN,2017,2017-10-22,1:00,1:00,@,CLE,7,7,Sun,W 12-9,OT,21,34,61.8,189,0,0,2,14,78.4,0,,,5,4,0,,
44,TEN,2018,2018-09-23,1:00,1:00,@,JAX,3,3,Sun,W 9-6,,13,21,61.9,83,0,0,3,25,75.1,0,,,4,3,0,,
45,PIT,2001,2001-11-11,1:03,1:03,@,CLE,9,8,Sun,W 15-12,OT,18,32,56.3,181,0,0,2,7,73.4,0,,,6,5,0,,
46,PIT,2007,2007-11-26,8:55,8:55,,MIA,12,11,Mon,W 3-0,,18,21,85.7,132,0,1,5,33,79.6,0,,,2,1,0,,
47,PIT,2008,2008-11-16,4:16,4:16,,SDG,11,10,Sun,W 11-10,,31,41,75.6,286,0,0,4,22,96.4,0,,,4,3,0,,1
48,PIT,2016,2017-01-15,8:20,7:20,@,KAN,19,18,Sun,W 18-16,,20,31,64.5,218,0,1,1,6,72.5,0,,,6,6,0,,
49,OAK,2000,2000-10-29,8:35,5:35,@,SDG,9,8,Sun,W 15-13,,16,35,45.7,145,0,1,1,11,46.8,0,,,6,5,0,,
50,OAK,2012,2012-12-16,4:25,1:25,,KAN,15,14,Sun,W 15-0,,18,30,60.0,182,0,0,0,0,77.4,0,,,6,5,0,,
51,LAR,2016,2016-11-13,1:00,1:00,@,NYJ,10,9,Sun,W 9-6,,17,30,56.7,155,0,0,3,10,72.2,0,,,3,3,0,,
52,LAR,2016,2016-09-18,4:08,1:08,,SEA,2,2,Sun,W 9-3,,18,30,60.0,219,0,0,3,20,85.3,0,,,3,3,0,,
53,STL,2006,2006-09-10,1:02,12:02,,DEN,1,1,Sun,W 18-10,,18,34,52.9,195,0,0,3,22,72.8,0,,,7,6,0,,
54,BAL,2000,2000-10-01,1:03,1:03,@,CLE,5,5,Sun,W 12-0,,18,34,52.9,160,0,1,1,9,54.7,0,,,5,4,0,,
55,BAL,2000,2000-10-08,8:35,8:35,@,JAX,6,6,Sun,W 15-10,,17,39,43.6,138,0,0,2,16,54.9,0,,,5,5,0,,
56,BAL,2007,2007-10-07,4:15,1:15,@,SFO,5,5,Sun,W 9-7,,29,43,67.4,214,0,0,0,0,79.0,0,,,3,3,0,,
57,BAL,2012,2012-10-07,1:02,12:02,@,KAN,5,5,Sun,W 9-6,,13,27,48.1,165,0,1,4,22,55.6,0,,,3,3,0,,
58,BAL,2013,2013-12-16,8:40,8:40,@,DET,15,14,Mon,W 18-16,,20,38,52.6,215,0,0,1,7,70.3,0,,,6,6,0,,
59,SEA,2001,2001-09-09,1:02,1:02,@,CLE,1,1,Sun,W 9-6,,20,34,58.8,150,0,2,4,28,48.4,0,,,4,3,0,,
60,SEA,2006,2006-09-10,1:04,1:04,@,DET,1,1,Sun,W 9-6,,25,30,83.3,173,0,0,5,37,95.8,0,,,5,3,0,,
61,SFO,2005,2005-10-30,4:15,1:15,,TAM,8,7,Sun,W 15-10,,8,19,42.1,50,0,0,0,0,49.7,0,,,6,5,0,,
62,SFO,2006,2006-11-05,4:05,1:05,,MIN,9,8,Sun,W 9-3,,13,21,61.9,91,0,1,3,14,54.7,0,,,3,3,0,,
63,SFO,2017,2017-12-03,1:00,12:00,@,CHI,13,12,Sun,W 15-14,,26,37,70.3,278,0,1,2,15,82.4,0,,,5,5,0,,
64,SFO,2019,2019-10-20,1:00,1:00,@,WAS,7,6,Sun,W 9-0,,12,21,57.1,146,0,1,2,5,59.8,0,,,4,3,0,,
65,TAM,2002,2002-10-27,1:02,1:02,@,CAR,8,8,Sun,W 12-9,,23,34,67.6,155,0,1,6,31,69.0,0,,,4,4,0,,
66,TAM,2002,2002-12-29,8:36,7:36,@,CHI,17,16,Sun,W 15-0,,16,25,64.0,111,0,0,5,23,77.7,0,,,5,5,0,,
67,WAS,2005,2005-09-11,1:06,1:06,,CHI,1,1,Sun,W 9-7,,14,25,56.0,159,0,1,3,16,61.2,0,,,3,3,0,,
68,WAS,2009,2009-09-20,1:02,1:02,,STL,2,2,Sun,W 9-7,,23,36,63.9,237,0,0,1,5,83.3,0,,,3,3,0,,
