season,opponent,result,pace,ppp,oppp,efg,oefg,to,oto,or,oor,ft,oft,LABEL
2011,Hofstra,W,75,1.43,0.84,64.8,45.2,16.1,21.4,53.2,27.2,36.6,22.2,
2011,William & Mary,W,76,1.12,0.79,48.6,41.9,15.8,27.7,41.9,32.6,28.8,19.4,
2011,Kentucky,W,76,0.98,0.96,42.2,46,15.7,14.4,25,20.2,63.8,33.9,
2011,Duke,W,71,1.14,0.94,55.6,40.3,14.1,12.7,31.9,27.1,33.3,35.5,
2011,Long Beach State,W,79,1.21,1.15,64.8,57.5,13.9,15.2,22.4,28.6,34.4,17.8,
2011,Maryland,W,80,1.08,0.94,43.8,42.5,13.7,16.1,41.8,33.7,27.5,24.7,
2011,St. Francis PA,W,76,1.36,0.71,65.2,33.6,13.2,22.4,41.5,29.9,40.9,16.4,
2011,Clemson,W,70,0.92,0.89,39.6,41.8,12.9,22.9,19.8,34.1,60.4,27.9,
2011,UVA,W,63,0.98,0.89,39.8,47.1,12.7,17.4,28.9,15.2,50,23.5,
2011,Washington,W,73,1.18,1.14,51.5,52.8,12.3,17.8,35,37.8,34.9,9.7,
2011,Boston College,W,76,1.4,0.97,65.4,44.9,11.8,21.1,32.3,37.9,29.4,30.9,
2011,Wake Forest,W,70,1.12,0.92,40.1,44.3,11.5,18.6,46.1,26.6,39.4,16.4,
2011,Marquette,W,71,1.14,0.88,45.3,38.1,9.8,25.3,46.7,40,28.4,31.8,
2012,Ohio,W,71,0.91,0.82,45.4,40.9,30.1,16.3,48.9,14.6,36.9,11.3,
2012,Florida State,L,76,0.75,1.18,40.7,58.1,29,22.4,33.3,41.7,33.9,38.7,
2012,Wisconsin,W,61,0.98,0.94,45.6,42.2,23.1,6.6,33.9,24.4,53.3,9.4,
2012,Asheville,W,77,1.18,0.97,61.1,46,22,12.9,32.7,21,64.8,38.1,
2012,NC State,W,71,1.03,0.77,52.3,44.7,21.1,23.9,42.9,15.4,20.3,15.8,
2012,NC State,W,74,0.93,0.91,49.1,47.4,20.3,21.6,19.4,22.2,40.7,31,
2012,Virginia Tech,W,69,1.18,0.97,48.5,46.3,20.2,11.5,52.8,25.6,31.8,8.8,
2012,Michigan State,W,70,0.96,0.79,51,31.9,20.1,21.6,22.1,45.9,45.1,18.1,
2012,Kentucky,L,65,1.1,1.11,50.8,47.6,19.9,13.8,38.7,41.1,23.3,28.6,
2012,Texas,W,69,1.18,0.91,46.8,41.3,18.8,18.8,56.4,38.6,49.2,13,
2012,Maryland,W,76,1.1,0.97,47.1,44.3,18.5,17.2,42.2,32.5,37.1,44.3,
2012,Clemson,W,67,1.1,0.78,54,43.8,18,22.5,34.4,15.2,12.7,33.3,
2012,Long Beach State,W,78,1.08,1,55.9,52.1,18,19.3,24.2,32,14.7,11.4,
2012,UVA,W,61,0.88,0.83,35.3,40,17.9,6.5,33.3,12.2,45.1,10,
2012,Duke,W,70,1.26,0.99,57.6,46,17.1,8.6,43.8,24.4,22.7,33.3,
2012,Mississippi Valley St.,W,88,1.15,0.86,48.9,43.4,17.1,23.9,54.1,30.1,35.6,14.5,
2012,Miami,W,72,1.01,0.78,46.4,44.5,16.7,23.7,40,14.7,20.3,18.2,
2012,Evansville,W,79,1.22,0.61,53.8,30.3,16.4,22.8,50.6,18.2,65.2,16.7,
2012,Monmouth,W,80,1.27,0.81,60.3,45.5,16.2,15,40.5,9.1,48.5,11.9,
2012,Vermont,W,72,1.07,0.81,45.4,42.1,15.4,27.9,36.6,42.1,36.9,12.7,
2012,Nicholls State,W,86,1.15,0.57,45.9,32.9,15.1,26.8,55.8,19.8,48.2,8.6,
2012,Tennessee State,W,74,1.36,0.93,70.5,47.2,14.8,16.1,36.7,23.8,24.2,7,
2012,Boston College,W,75,1.11,0.8,50.8,50,14.7,26.8,33.3,18.9,31.8,15.8,
2012,Elon,W,84,1.19,0.74,50,37.8,14.3,16.7,48.5,19.8,30.1,6.4,
2012,Kansas,L,72,0.93,1.12,45.3,49.2,14,11.2,21.1,28.9,18.8,38.1,
2012,Maryland,W,73,1.16,0.94,56.6,45.2,13.7,17.8,32.4,26.8,42.6,33.9,
2012,NC State,W,67,1.29,1.11,59.6,43.6,13.5,6,33.3,38.3,42.1,32.9,
2012,Georgia Tech,W,75,1.24,1.09,62.3,52.2,13.4,20.1,34.5,32.4,41,16.2,
2012,South Carolina,W,75,1.16,0.83,52.2,50,13.4,33.5,32.2,39.1,44.8,21.8,
2012,Miami,W,63,1.15,1.01,41.9,45.3,12.6,22.1,52.2,45,33.8,12.5,
2012,Duke,L,72,1.16,1.18,50,54.8,12.5,13.9,39.5,30.8,47.6,41.9,
2012,UNLV,L,80,1,1.12,45.5,52.8,12.5,16.2,22.7,32.6,50,25.4,
2012,Creighton,W,73,1.19,1,56.9,47.1,12.3,12.3,29.7,21.4,29.2,17.6,
2012,UVA,W,66,1.06,0.79,36,39.1,12.2,18.3,48.9,21.6,39.7,23.6,
2012,Florida State,L,70,1.16,1.21,43,68.8,10,21.3,44.2,23.1,33.8,19.6,
2012,Appalachian State,W,74,1.3,1.11,56.1,49.3,9.4,13.5,41.5,33.8,50,25,
2012,Maryland,W,76,1.15,0.84,43,40.5,9.2,22.3,38.6,35.9,46.5,33.3,
2012,Wake Forest,W,67,1.01,0.78,33.8,31.5,8.9,16.3,42.3,23.3,36.6,48.1,
2013,Gardner Webb,W,75,1.01,0.78,47.2,45.5,23.9,29.2,48.9,25.7,26.8,25.4,
2013,Villanova,W,72,1.09,0.99,60.2,47.5,23.6,22.2,21.4,40.5,55.1,31.1,
2013,UAB,W,88,1.16,0.96,60,50,22.8,20.6,36.4,28.6,30,14.5,
2013,Florida State,W,62,1.24,1.16,55,59,22.5,16,59.4,21.4,26.7,34,
2013,Florida Atlantic,W,76,1.05,0.74,47.9,35.2,22.4,22.4,51.1,28.9,38,34.4,
2013,Texas,L,81,0.83,1.05,33.6,44.6,22.3,16.1,41.7,40,47.8,35.1,
2013,Butler,L,72,0.98,1.13,48.4,58.5,20.8,24.9,27,38.7,19.1,47.2,
2013,UVA,L,63,0.82,0.96,42.2,53.1,18.9,17.4,22.9,15.6,33.3,36.7,
2013,Duke,L,70,0.97,1.04,41.7,50,18.5,24.2,42.5,40,34.9,35.7,
2013,McNeese State,W,76,1.27,0.83,56.1,37.7,18.4,13.1,51.2,31.4,29.7,26,
2013,Duke,L,61,0.87,1.13,34.7,60.2,18.1,24.6,43.9,40.9,21,24.5,
2013,East Tenn. St.,W,78,1,0.71,50,39.5,17.9,28.2,30.2,25.6,9.6,19.4,
2013,Wake Forest,W,78,1.11,0.79,58.9,45.5,17.8,26.8,25,17.1,40.3,30.9,
2013,Long Beach State,W,73,1.06,0.86,46.7,39.9,17.7,19.1,46,27.3,14.7,17.4,
2013,Miami,L,63,0.94,1.08,45,55.7,17.5,19.1,31.6,27.6,13.3,24.5,
2013,NC State,L,80,1.03,1.13,52.1,54.6,17.4,19.9,23.1,34.3,14.1,35.4,
2013,Georgia Tech,W,81,0.98,0.78,47.1,38.7,17.4,23.6,28.3,34.7,31.4,8,
2013,Maryland,W,70,1.13,0.98,54.5,45.2,17.2,20.1,32.3,36.1,43.6,23.8,
2013,Virginia Tech,W,62,1.02,0.85,41.4,41.9,17.1,19.9,44.2,26.3,42.2,16.1,
2013,Maryland,W,71,0.88,0.74,39.2,40.6,17,29.8,32.6,29.4,27.7,26.4,
2013,UNLV,W,72,1.1,1.02,53.6,52.5,16.7,23.7,31.4,38.9,60,35.6,
2013,Florida State,W,67,1.18,0.87,63.4,40.3,16.5,22.5,26.9,33.3,17.9,12.9,
2013,Miami,L,67,0.91,1.29,43.1,67.5,16.4,19.3,27.5,33.3,9.2,21.1,
2013,Indiana,L,74,0.8,1.12,38.4,50,16.2,13.5,29.2,34.9,20.3,16.2,
2013,Mississippi State,W,75,1.26,0.65,57,30,16,27.9,39.5,36.2,11.5,31.7,
2013,Kansas,L,72,0.8,0.97,34.2,48.2,15.2,30.4,31.4,42.9,13.7,38.2,
2013,East Carolina,W,80,1.16,1.09,55.2,49.2,15,12.5,27.8,25,35.8,40.3,
2013,Clemson,W,64,1.07,0.93,54.5,43.1,14.1,23.6,24.2,38.9,27.3,19,
2013,NC State,W,71,1.07,0.92,50.8,48.4,14.1,24,25.6,36.8,25,21.3,
2013,Miami,L,64,1.2,1.35,55.8,61,14,12.4,29.4,40,18.3,33.9,
2013,Boston College,W,67,1.22,1.04,54,50.9,13.4,14.9,40.6,22.6,32.3,30.4,
2013,Georgia Tech,W,71,0.98,0.82,42.4,46.5,12.7,26.7,26.2,30.8,25.8,19,
2013,Chaminade,W,74,1.52,0.95,71.7,48.5,12.2,25.7,45.2,35.7,30.4,15.4,
2013,Florida State,W,66,1.26,0.94,57.1,48,10.6,27.2,36.4,30,19.1,35.3,
2013,UVA,W,69,1.34,1.17,60.2,69.8,10.1,20.2,34.4,12,50.9,20.8,
2013,Maryland,W,71,1.12,1.07,50,47.5,9.9,14.1,25,32.5,42.6,42.6,
