Result,total,type
W,13.4,FTRate
W,29,FTRate
W,4.1,FTRate
W,29.5,FTRate
W,31.4,FTRate
W,9.8,FTRate
L,-14.8,FTRate
W,-2.8,FTRate
W,17.5,FTRate
W,10.6,FTRate
W,-4.8,FTRate
W,-15.4,FTRate
W,22.9,FTRate
W,-6.5,FTRate
W,-14.2,FTRate
W,9.1,FTRate
W,-13.2,FTRate
L,-12.4,FTRate
W,-4,FTRate
W,-26,FTRate
L,-3.2,FTRate
W,8.4,FTRate
W,-4.7,FTRate
L,-22,FTRate
L,15,FTRate
W,17.4,FTRate
W,-30.2,FTRate
W,16.7,FTRate
W,10.6,FTRate
W,13.7,FTRate
W,-7.9,FTRate
W,19.4,FTRate
W,-27.2,FTRate
W,14.6,FTRate
W,16.2,FTRate
W,-1.1,FTRate
W,7,FTRate
L,18.9,FTRate
W,3.3,FTRate
W,21.7,FTRate
W,1.7,FTRate
W,-5.9,FTRate
L,-10.9,FTRate
W,21.8,FTRate
W,25.4,FTRate
W,6.9,FTRate
L,-9,FTRate
W,20.2,FTRate
W,-9.9,FTRate
L,-56.1,FTRate
W,25.8,FTRate
W,-3,FTRate
W,-16.9,FTRate
L,-21.7,FTRate
W,-15.6,FTRate
W,10,FTRate
L,-11.7,FTRate
W,-10.3,FTRate
L,-23.6,FTRate
L,16.2,FTRate
W,19,FTRate
L,-8.9,FTRate
L,-34.4,FTRate
W,19.8,FTRate
W,18.8,FTRate
W,-5.4,FTRate
W,8,FTRate
W,9.3,FTRate
W,-2.2,FTRate
L,0.5,FTRate
W,-12.6,FTRate
W,-7.6,FTRate
W,4.2,FTRate
W,25.8,FTRate
W,-8.7,FTRate
L,-44.6,FTRate
W,1.8,FTRate
L,-18.6,FTRate
W,23.1,FTRate
W,-46.6,FTRate
L,15.8,FTRate
W,23,FTRate
W,27.8,FTRate
W,-2.6,FTRate
L,-10.4,FTRate
W,-21.3,FTRate
L,-26.3,FTRate
L,-17.9,FTRate
W,17.6,FTRate
W,-14,FTRate
W,-3,FTRate
W,7.5,FTRate
W,37.3,FTRate
W,-17.1,FTRate
W,5.1,FTRate
W,16.2,FTRate
W,36.8,FTRate
W,8.4,FTRate
W,-10.8,FTRate
W,-13.3,FTRate
L,-34.6,FTRate
W,0.3,FTRate
L,-7.4,FTRate
L,-21.2,FTRate
L,-46.4,FTRate
W,4.8,FTRate
W,36.6,FTRate
W,40.5,FTRate
L,26.5,FTRate
W,0.8,FTRate
W,12.9,FTRate
W,13.4,FTRate
L,-27.7,FTRate
W,27.1,FTRate
W,9.3,FTRate
L,41.3,FTRate
W,-21,FTRate
W,3.7,FTRate
L,-24.5,FTRate
W,24,FTRate
L,-15.6,FTRate
W,0,FTRate
W,-16.2,FTRate
L,-3.5,FTRate
W,19.8,FTRate
W,5,FTRate
W,8.3,FTRate
W,3.7,FTRate
W,6.8,FTRate
W,30.1,FTRate
L,-0.8,FTRate
L,-11.9,FTRate
W,9.4,FTRate
W,26.1,FTRate
W,1.9,FTRate
L,-21.3,FTRate
W,23.4,FTRate
W,1.3,FTRate
W,-7.3,FTRate
L,-11.2,FTRate
L,-3.4,FTRate
W,24.4,FTRate
W,3.7,FTRate
L,12.7,FTRate
W,-4.5,FTRate
W,-9.8,FTRate
W,15.5,FTRate
L,4.1,FTRate
W,15,FTRate
L,-28.1,FTRate
W,-20.2,FTRate
W,-2.7,FTRate
W,3.6,FTRate
W,1.4,FTRate
L,-19.3,FTRate
W,25.6,FTRate
W,11.6,FTRate
W,24.2,FTRate
L,14.2,FTRate
W,9.7,FTRate
W,8.7,FTRate
W,-10.6,FTRate
W,13.2,FTRate
W,35.1,FTRate
W,9.2,FTRate
W,-20.6,FTRate
W,21.3,FTRate
W,16.1,FTRate
L,5.7,FTRate
W,-7.2,FTRate
W,-11.5,FTRate
W,24.8,FTRate
W,4.5,FTRate
W,23,FTRate
L,-4.8,FTRate
W,2.1,FTRate
W,16,FTRate
W,36.6,FTRate
W,23.7,FTRate
W,36.2,FTRate
W,39.6,FTRate
W,25,FTRate
W,3.3,FTRate
W,48.5,FTRate
L,-5.3,FTRate
W,43.9,FTRate
L,24.6,FTRate
W,23,FTRate
W,17.2,FTRate
W,21.1,FTRate
W,26.7,FTRate
W,27,FTRate
L,-4.4,FTRate
W,-3.4,FTRate
W,25.2,FTRate
W,33.3,FTRate
L,8,FTRate
W,30.6,FTRate
W,5,FTRate
W,-2.2,FTRate
W,11,FTRate
W,2.8,FTRate
W,11.9,FTRate
W,-12.9,FTRate
W,23,FTRate
W,32.5,FTRate
L,-1.4,FTRate
W,4.4,FTRate
W,-1.5,FTRate
W,5.5,FTRate
W,6.6,FTRate
W,29,FTRate
L,36.7,FTRate
W,-1.3,FTRate
W,26.5,FTRate
W,24.5,FTRate
W,1.9,FTRate
W,9.4,FTRate
L,2.4,FTRate
W,16.6,FTRate
W,51.7,FTRate
W,29.9,FTRate
L,15,FTRate
W,28.1,FTRate
W,35.7,FTRate
L,-7.5,FTRate
L,-17.9,FTRate
W,14.4,FTRate
W,12.7,FTRate
L,-0.8,FTRate
W,-7.2,FTRate
W,-12.3,FTRate
W,-21,FTRate
W,39.1,FTRate
L,-8.3,FTRate
L,13.8,FTRate
W,22.2,FTRate
W,18.4,FTRate
L,24.4,FTRate
L,18.1,FTRate
L,-2.2,FTRate
W,17.9,FTRate
L,1.5,FTRate
L,12.8,FTRate
L,23.8,FTRate
L,4.7,FTRate
W,20,FTRate
L,-8.9,FTRate
L,18.3,FTRate
L,-16.4,FTRate
W,15.4,FTRate
L,40,FTRate
W,20.6,FTRate
W,46.4,FTRate
W,35.8,FTRate
L,-13.8,FTRate
W,18.2,FTRate
L,-21.3,FTRate
W,32.4,FTRate
W,27.3,FTRate
W,39.9,FTRate
L,26.6,FTRate
W,11.1,FTRate
W,36,FTRate
W,-0.5,FTRate
W,6.1,FTRate
W,12.9,FTRate
W,39.5,FTRate
W,1.8,FTRate
W,0,FTRate
W,21.1,FTRate
W,11.1,FTRate
L,22.8,FTRate
W,15.9,FTRate
W,-6.8,FTRate
W,26.9,FTRate
W,27.5,FTRate
L,11.4,FTRate
W,11.6,FTRate
W,9,FTRate
W,24.3,FTRate
W,14.3,FTRate
W,10.6,FTRate
W,12.9,FTRate
W,15.8,FTRate
W,13,FTRate
W,12.4,FTRate
W,32.8,FTRate
L,-12.5,FTRate
W,8.2,FTRate
L,14.1,FTRate
W,7.7,FTRate
W,19.2,FTRate
W,-3.3,FTRate
W,17.7,FTRate
W,25.9,FTRate
W,9.1,FTRate
W,2.3,FTRate
W,15.9,FTRate
W,22,FTRate
W,-5.2,FTRate
W,28.9,FTRate
W,-16.5,FTRate
W,26.7,FTRate
L,0.5,FTRate
W,7.1,FTRate
W,6.5,FTRate
W,-12.9,FTRate
W,13.7,FTRate
W,-2.9,FTRate
W,-2.8,FTRate
W,20.3,FTRate
W,4,FTRate
W,11.2,FTRate
W,1.5,FTRate
W,39.7,FTRate
W,-11.1,FTRate
W,-6.6,FTRate
W,5.4,FTRate
W,41.4,FTRate
L,2.6,FTRate
W,32.7,FTRate
W,4.6,FTRate
W,7.4,FTRate
L,-12.2,FTRate
W,27.6,FTRate
W,-0.3,FTRate
W,9.6,FTRate
W,7.5,FTRate
W,23.5,FTRate
W,15.4,FTRate
W,19.5,FTRate
W,26.1,FTRate
W,41.8,FTRate
W,-13.8,FTRate
W,10.9,FTRate
W,17.8,FTRate
W,6.8,FTRate
W,36.4,FTRate
W,13.2,FTRate
W,19.6,FTRate
W,36,FTRate
W,31.5,FTRate
L,20.6,FTRate
W,7.3,FTRate
W,36.1,FTRate
W,9.1,FTRate
W,10.2,FTRate
W,-14.6,FTRate
W,12.6,FTRate
W,18.5,FTRate
L,53.3,FTRate
L,-16.7,FTRate
W,1.5,FTRate
W,-1.9,FTRate
L,14.7,FTRate
W,23.9,FTRate
W,-0.7,FTRate
L,-42.1,FTRate
W,14.8,FTRate
W,-37.1,FTRate
W,13.7,FTRate
W,32.4,FTRate
W,0.4,FTRate
L,-27,FTRate
W,43.5,FTRate
W,-0.5,FTRate
W,12.8,FTRate
W,7.3,FTRate
W,12.8,FTRate
W,9.4,FTRate
W,34,FTRate
W,-17.1,FTRate
W,47.7,FTRate
W,1.3,FTRate
W,33.1,FTRate
W,8.6,FTRate
L,23.1,FTRate
W,39.6,FTRate
W,32.5,FTRate
W,24.5,FTRate
L,-26.6,FTRate
W,33.6,FTRate
L,-4.6,FTRate
W,19.8,FTRate
W,12.4,FTRate
W,30.6,FTRate
W,-5.2,FTRate
W,-19.6,FTRate
W,42.8,FTRate
W,26.6,FTRate
W,-9.6,FTRate
L,2.6,FTRate
W,43.7,FTRate
W,3.8,FTRate
W,13,FTRate
L,10.1,FTRate
W,-15.2,FTRate
L,-29.7,FTRate
L,-16.7,FTRate
W,11.3,FTRate
W,36.7,FTRate
W,27.6,FTRate
W,32,FTRate
L,20.2,FTRate
W,41.3,FTRate
W,11.7,FTRate
W,3.1,FTRate
L,13.6,FTRate
W,25.1,FTRate
W,53,FTRate
W,20.5,FTRate
W,27.9,FTRate
W,-0.4,FTRate
W,6.8,FTRate
W,18.9,FTRate
W,34.5,FTRate
W,1.8,FTRate
L,1.3,FTRate
W,37.9,FTRate
W,4.9,FTRate
W,22.3,FTRate
W,15.6,FTRate
W,20.8,FTRate
W,12.8,FTRate
W,8.7,FTRate
W,-10.3,FTRate
L,1.1,FTRate
W,11.9,FTRate
W,13.4,FTRate
W,10.3,FTRate
W,26.3,FTRate
W,6.8,FTRate
L,-12.8,FTRate
W,-8.1,FTRate
W,-0.4,FTRate
W,28.9,FTRate
W,8.8,FTRate
W,46.4,FTRate
W,22.6,FTRate
W,24.8,FTRate
W,26.1,FTRate
W,44.9,FTRate
W,21.3,FTRate
W,37.2,FTRate
W,-20.4,FTRate
W,43.5,FTRate
W,8.7,FTRate
L,-19.9,FTRate
L,-12.6,FTRate
W,0.7,FTRate
L,4.4,FTRate
L,-4.9,FTRate
W,-10.1,FTRate
W,19.7,FTRate
L,-13.7,FTRate
W,33.4,FTRate
W,59.5,FTRate
L,-25.1,FTRate
W,-1.4,FTRate
L,-17.6,FTRate
L,-44,FTRate
W,15.6,FTRate
W,2.7,FTRate
L,-7.6,FTRate
W,19.5,FTRate
L,-25.8,FTRate
W,9.7,FTRate
W,7.7,FTRate
L,-4.3,FTRate
W,25.7,FTRate
W,3.3,FTRate
L,0,FTRate
W,32.8,FTRate
W,26.1,FTRate
W,20.4,FTRate
W,1.1,FTRate
W,28.1,FTRate
W,32.4,FTRate
